X,Y,ID,SER,PERMIT,CR,DR,LOCATION,DATE,CD,TG,GD,MODEL,THEME,CITY,LAT,LON,TOOLTIP
-118.37945000011,34.076609999903,682,PI0084,,SX,,Beverly Blvd && San Vicente Blvd,,5,,,,OSF,Los Angeles,34.07661,-118.37945,Type: OSF\nLocation:  Beverly Blvd && San Vicente Blvd\nCouncil District:  5\nDate:  \nSerial: PI0084\nPermit:  
-118.378789999786,34.0753100001032,683,PI0086,,SX,,San Vicente Blvd && Gracie Allen,,5,,,,OSF,Los Angeles,34.07531,-118.37879,Type: OSF\nLocation:  San Vicente Blvd && Gracie Allen\nCouncil District:  5\nDate:  \nSerial: PI0086\nPermit:  
-118.411970000194,34.0584900001453,684,PI0113,,SX,,Olympic Blvd && Centuray Park East.,,5,,,,OSF,Los Angeles,34.05849,-118.41197,Type: OSF\nLocation:  Olympic Blvd && Centuray Park East.\nCouncil District:  5\nDate:  \nSerial: PI0113\nPermit:  
-118.411970000194,34.0584900001453,685,PI0115,,SX,,Olympic Blvd && Century Park East,,5,,,,OSF,Los Angeles,34.05849,-118.41197,Type: OSF\nLocation:  Olympic Blvd && Century Park East\nCouncil District:  5\nDate:  \nSerial: PI0115\nPermit:  
-118.410670000087,34.0500300001746,686,PI0118,,SX,,Pico Blvd && Motor Ave,,5,,,,OSF,Los Angeles,34.05003,-118.41067,Type: OSF\nLocation:  Pico Blvd && Motor Ave\nCouncil District:  5\nDate:  \nSerial: PI0118\nPermit:  
-118.410660000041,34.0592999999284,687,PI0119,,SX,,Olympic Blvd && Heath Ave,,5,,,,OSF,Los Angeles,34.0593,-118.41066,Type: OSF\nLocation:  Olympic Blvd && Heath Ave\nCouncil District:  5\nDate:  \nSerial: PI0119\nPermit:  
-118.376690000061,34.0713500001697,688,PI0122,,SX,,Burton Way && San Vicente Blvd,,5,,,,OSF,Los Angeles,34.07135,-118.37669,Type: OSF\nLocation:  Burton Way && San Vicente Blvd\nCouncil District:  5\nDate:  \nSerial: PI0122\nPermit:  
-118.411970000194,34.0584900001453,689,PI0126,,SX,,Olympic Blvd && Century Park East,,5,,,,OSF,Los Angeles,34.05849,-118.41197,Type: OSF\nLocation:  Olympic Blvd && Century Park East\nCouncil District:  5\nDate:  \nSerial: PI0126\nPermit:  
-118.408440000217,34.0512799999814,690,PI0132,,MX,,Pico Blvd && Ave of the Stars,,5,,,,OSF,Los Angeles,34.05128,-118.40844,Type: OSF\nLocation:  Pico Blvd && Ave of the Stars\nCouncil District:  5\nDate:  \nSerial: PI0132\nPermit:  
-118.431770000035,34.0438900001713,691,PK0005,SF2003-00008,MX,,Olympic Blvd  && Westwood Blvd,,5,,,,OSF,Los Angeles,34.04389,-118.43177,Type: OSF\nLocation:  Olympic Blvd  && Westwood Blvd\nCouncil District:  5\nDate:  \nSerial: PK0005\nPermit:  SF2003-00008
-118.361439999923,34.0715599999381,692,PK0013,,SX,,Fairfax && 3rd Street,,5,,,,OSF,Los Angeles,34.07156,-118.36144,Type: OSF\nLocation:  Fairfax && 3rd Street\nCouncil District:  5\nDate:  \nSerial: PK0013\nPermit:  
-118.424779999951,34.0419199999438,693,PK0032,,SX,,Pico Blvd && Overland Ave,,5,,,,OSF,Los Angeles,34.04192,-118.42478,Type: OSF\nLocation:  Pico Blvd && Overland Ave\nCouncil District:  5\nDate:  \nSerial: PK0032\nPermit:  
